,location,price_per_sqft,total_sqft,builtup_area,bhk,price
168,Residential land / Plot in Jui,₹ 294/sq.ft.,"1,089 sq.ft. (101 sq.m.) Plot Area",(101 sq.m.) Plot Area,,₹ 3.21 L₹ 294/sq.ft.
169,2 BHK Apartment in Ulwe,"₹ 7,881/sq.ft.","1,199 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 94.5 L₹ 7,881/sq.ft."
170,1 BHK Apartment in Taloja,"₹ 8,000/sq.ft.",400 sq.ft. (37 sq.m.) Carpet Area,(37 sq.m.) Carpet Area,1 BHK2 Baths,"₹ 32 L₹ 8,000/sq.ft."
171,1 BHK Apartment in Ghotkamp Koyana Vele,"₹ 6,262/sq.ft.",495 sq.ft. (46 sq.m.) Carpet Area,(46 sq.m.) Carpet Area,1 BHK2 Baths,"₹ 31 L₹ 6,262/sq.ft."
172,3 BHK Apartment in Sector 14 Kharghar,"₹ 10,312/sq.ft.","1,600 sq.ft. (149 sq.m.) Super built-up Area",(149 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.65 Cr₹ 10,312/sq.ft."
173,2 BHK Apartment in Panvel,"₹ 10,000/sq.ft.","1,300 sq.ft. (121 sq.m.) Super built-up Area",(121 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.3 Cr₹ 10,000/sq.ft."
174,2 BHK Apartment in Sector 17 Ulwe,"₹ 10,745/sq.ft.","1,154 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.24 Cr₹ 10,745/sq.ft."
175,1 BHK Apartment in Ghansoli,"₹ 12,987/sq.ft.",693 sq.ft. (64 sq.m.) Super built-up Area,(64 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 90 L₹ 12,987/sq.ft."
176,2 BHK Apartment in Sector 9 Ulwe,"₹ 8,083/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 97 L₹ 8,083/sq.ft."
177,1 BHK Apartment in Sector 17 Ulwe,"₹ 7,142/sq.ft.",700 sq.ft. (65 sq.m.) Super built-up Area,(65 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 50 L₹ 7,142/sq.ft."
178,2 BHK Apartment in Sector 8 Ulwe,"₹ 9,407/sq.ft.","1,350 sq.ft. (125 sq.m.) Super built-up Area",(125 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.27 Cr₹ 9,407/sq.ft."
179,1 BHK Apartment in Panvel,"₹ 5,329/sq.ft.",713 sq.ft. (66 sq.m.) Super built-up Area,(66 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 38 L₹ 5,329/sq.ft."
180,Residential land / Plot in Chirle,₹ 275/sq.ft.,"1,089 sq.ft. (101 sq.m.) Plot Area",(101 sq.m.) Plot Area,,₹ 3 L₹ 275/sq.ft.
181,2 BHK Apartment in Sector 15 Ghansoli,"₹ 12,236/sq.ft.","1,185 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.45 Cr₹ 12,236/sq.ft."
182,2 BHK Apartment in Sector 21 Ghansoli,"₹ 9,047/sq.ft.","1,050 sq.ft. (98 sq.m.) Super built-up Area",(98 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 95 L₹ 9,047/sq.ft."
183,1 BHK Apartment in Sector 21 Ulwe,"₹ 7,518/sq.ft.",665 sq.ft. (62 sq.m.) Super built-up Area,(62 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 50 L₹ 7,518/sq.ft."
184,Residential land / Plot in Chirle,₹ 468/sq.ft.,"1,089 sq.ft. (101 sq.m.) Plot Area",(101 sq.m.) Plot Area,,₹ 5.1 L₹ 468/sq.ft.
185,Residential land / Plot in Ranjanpada,₹ 367/sq.ft.,"1,089 sq.ft. (101 sq.m.) Plot Area",(101 sq.m.) Plot Area,,₹ 4 L₹ 367/sq.ft.
186,Residential land / Plot in Vindhane,₹ 16/sq.ft.,"21,779 sq.ft. (2023 sq.m.) Plot Area",(2023 sq.m.) Plot Area,,₹ 3.5 L₹ 16/sq.ft.
187,1 BHK Apartment in Kharghar,"₹ 7,352/sq.ft.",680 sq.ft. (63 sq.m.) Super built-up Area,(63 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 50 L₹ 7,352/sq.ft."
188,2 BHK Apartment in New Panvel,"₹ 7,283/sq.ft.","1,215 sq.ft. (113 sq.m.) Super built-up Area",(113 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 88.5 L₹ 7,283/sq.ft."
189,2 BHK Apartment in New Panvel,"₹ 7,365/sq.ft.","1,059 sq.ft. (98 sq.m.) Super built-up Area",(98 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 78 L₹ 7,365/sq.ft."
190,2 BHK Apartment in New Panvel,"₹ 6,827/sq.ft.","1,059 sq.ft. (98 sq.m.) Super built-up Area",(98 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 72.3 L₹ 6,827/sq.ft."
191,2 BHK Apartment in Sector 10 Kharghar,"₹ 10,204/sq.ft.","1,225 sq.ft. (114 sq.m.) Built-up Area",(114 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 1.25 Cr₹ 10,204/sq.ft."
192,2 BHK Apartment in Panvel,"₹ 5,701/sq.ft.","1,140 sq.ft. (106 sq.m.) Built-up Area",(106 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 65 L₹ 5,701/sq.ft."
193,2 BHK Apartment in Koperkhairane,"₹ 12,777/sq.ft.",900 sq.ft. (84 sq.m.) Built-up Area,(84 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 1.15 Cr₹ 12,777/sq.ft."
194,3 BHK Apartment in Ulwe,"₹ 9,189/sq.ft.","1,850 sq.ft. (172 sq.m.) Super built-up Area",(172 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.7 Cr₹ 9,189/sq.ft."
195,2 BHK Apartment in Sector 5 Ulwe,"₹ 7,766/sq.ft.","1,030 sq.ft. (96 sq.m.) Super built-up Area",(96 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 80 L₹ 7,766/sq.ft."
196,Residential land / Plot in Vindhane,₹ 183/sq.ft.,"1,089 sq.ft. (101 sq.m.) Plot Area",(101 sq.m.) Plot Area,,₹ 2 L₹ 183/sq.ft.
197,3 BHK Apartment in Sector 35D Kharghar,"₹ 9,941/sq.ft.","1,710 sq.ft. (159 sq.m.) Super built-up Area",(159 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.7 Cr₹ 9,941/sq.ft."
198,2 BHK Apartment in Sector 21 Kamothe,"₹ 7,557/sq.ft.","1,310 sq.ft. (122 sq.m.) Super built-up Area",(122 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 99 L₹ 7,557/sq.ft."
199,2 BHK Apartment in Sector 20 Kamothe,"₹ 6,356/sq.ft.","1,290 sq.ft. (120 sq.m.) Super built-up Area",(120 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 82 L₹ 6,356/sq.ft."
200,3 BHK Apartment in Sector 44A Seawoods,"₹ 14,444/sq.ft.","1,800 sq.ft. (167 sq.m.) Built-up Area",(167 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 2.6 Cr₹ 14,444/sq.ft."
201,2 BHK Apartment in Sector 35D Kharghar,"₹ 9,850/sq.ft.","1,005 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 99 L₹ 9,850/sq.ft."
202,2 BHK Apartment in Kutak Bandhan,"₹ 8,354/sq.ft.","1,185 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 99 L₹ 8,354/sq.ft."
203,2 BHK Apartment in Sector 5 Ulwe,"₹ 7,589/sq.ft.","1,120 sq.ft. (104 sq.m.) Super built-up Area",(104 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 85 L₹ 7,589/sq.ft."
