,location,price_per_sqft,total_sqft,builtup_area,bhk,price
238,2 BHK Apartment in Shalimar Garden Extension 2,"₹ 3,181/sq.ft.","1,100 sq.ft. (102 sq.m.) Built-up Area",(102 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 35 L₹ 3,181/sq.ft."
239,4 BHK Apartment in New Manglapuri,"₹ 7,777/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",(167 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 1.4 Cr₹ 7,777/sq.ft."
240,3 BHK Apartment in Shalimar garden,"₹ 3,626/sq.ft.","1,489 sq.ft. (138 sq.m.) Super built-up Area",(138 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 54 L₹ 3,626/sq.ft."
241,Residential land / Plot in Sushant Lok Phase 1,"₹ 24,619/sq.ft.","2,583 sq.ft. (240 sq.m.) Plot Area",(240 sq.m.) Plot Area,,"₹ 6.36 Cr₹ 24,619/sq.ft."
242,2 BHK Apartment in Indirapuram,"₹ 7,762/sq.ft.","1,095 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 85 L₹ 7,762/sq.ft."
243,4 BHK Independent Builder Floor in C Block Sushant Lok Phase 1,"₹ 11,481/sq.ft.","2,700 sq.ft. (251 sq.m.) Super built-up Area",(251 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 3.1 Cr₹ 11,481/sq.ft."
244,Residential land / Plot in Sohna,"₹ 4,444/sq.ft.","3,060 sq.ft. (284 sq.m.) Plot Area",(284 sq.m.) Plot Area,,"₹ 1.36 Cr₹ 4,444/sq.ft."
245,3 BHK Apartment in Sant Nagar,"₹ 8,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 80 L₹ 8,000/sq.ft."
246,3 BHK Apartment in Saket,"₹ 12,777/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",(167 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.3 Cr₹ 12,777/sq.ft."
247,3 BHK Apartment in Techzone 4 Greater Noida West,"₹ 6,125/sq.ft.","1,208 sq.ft. (112 sq.m.) Super built-up Area",(112 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 74 L₹ 6,125/sq.ft."
248,4 BHK Independent Builder Floor in Rajouri garden,"₹ 20,454/sq.ft.","2,880 sq.ft. (268 sq.m.) Built-up Area",(268 sq.m.) Built-up Area,4 BHK3 Baths,"₹ 4.5 Cr₹ 20,454/sq.ft."
249,2 BHK Apartment in Keshav Puram,"₹ 8,600/sq.ft.",650 sq.ft. (60 sq.m.) Super built-up Area,(60 sq.m.) Super built-up Area,2 BHK1 Bath,"₹ 55.9 L₹ 8,600/sq.ft."
250,2 BHK Independent Builder Floor in Vaishali,"₹ 6,222/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 56 L₹ 6,222/sq.ft."
251,Residential land / Plot in Sector 89 Faridabad,"₹ 10,334/sq.ft.","4,499 sq.ft. (418 sq.m.) Plot Area",(418 sq.m.) Plot Area,,"₹ 4.65 Cr₹ 10,334/sq.ft."
252,2 BHK Apartment in Sector 150 Noida,"₹ 12,016/sq.ft.",894 sq.ft. (83 sq.m.) Super built-up Area,(83 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 89.5 L₹ 12,016/sq.ft."
253,2 BHK Apartment in Sector 18 Rohini,"₹ 14,286/sq.ft.",630 sq.ft. (59 sq.m.) Carpet Area,(59 sq.m.) Carpet Area,2 BHK1 Bath,"₹ 90 L₹ 14,286/sq.ft."
254,7 Bedroom House in Mayur Vihar Phase 3,"₹ 22,500/sq.ft.",400 sq.ft. (37 sq.m.) Plot Area,(37 sq.m.) Plot Area,7 BHK5 Baths,"₹ 90 L₹ 22,500/sq.ft."
255,3 Bedroom House in Greater Noida West,"₹ 8,254/sq.ft.",630 sq.ft. (59 sq.m.) Plot Area,(59 sq.m.) Plot Area,3 BHK3 Baths,"₹ 52 L₹ 8,254/sq.ft."
256,3 BHK Apartment in Sector 21C Faridabad,"₹ 5,613/sq.ft.","2,138 sq.ft. (199 sq.m.) Super built-up Area",(199 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.2 Cr₹ 5,613/sq.ft."
257,5 Bedroom House in Model Town Phase 1,"₹ 54,687/sq.ft.","2,880 sq.ft. (268 sq.m.) Plot Area",(268 sq.m.) Plot Area,5 BHK4 Baths,"₹ 15.75 Cr₹ 54,687/sq.ft."
258,3 BHK Apartment in Pitampura,"₹ 8,666/sq.ft.","1,500 sq.ft. (139 sq.m.) Carpet Area",(139 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.3 Cr₹ 8,666/sq.ft."
259,3 BHK Apartment in Sector 14 Gurgaon,"₹ 6,818/sq.ft.","1,100 sq.ft. (102 sq.m.) Carpet Area",(102 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 75 L₹ 6,818/sq.ft."
260,4 Bedroom House in Dabri,"₹ 10,815/sq.ft.",675 sq.ft. (63 sq.m.) Plot Area,(63 sq.m.) Plot Area,4 BHK1 Bath,"₹ 73 L₹ 10,815/sq.ft."
261,3 BHK Independent Builder Floor in Jonapur,"₹ 4,727/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 52 L₹ 4,727/sq.ft."
262,3 BHK Independent Builder Floor in Panchsheel Enclave,"₹ 28,846/sq.ft.","2,340 sq.ft. (217 sq.m.) Super built-up Area",(217 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 6.75 Cr₹ 28,846/sq.ft."
263,4 BHK Independent Builder Floor in Geetanjali Enclave,"₹ 23,223/sq.ft.","3,897 sq.ft. (362 sq.m.) Carpet Area",(362 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 9.05 Cr₹ 23,223/sq.ft."
264,4 BHK Independent Builder Floor in Khirki Extension,"₹ 6,666/sq.ft.","1,800 sq.ft. (167 sq.m.) Built-up Area",(167 sq.m.) Built-up Area,4 BHK3 Baths,"₹ 1.2 Cr₹ 6,666/sq.ft."
265,Studio Apartments / 1 RK Flats in Sector 66 Gurgaon,"₹ 8,951/sq.ft.",687 sq.ft. (64 sq.m.) Super built-up Area,(64 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 61.5 L₹ 8,951/sq.ft."
266,3 BHK Apartment in Mayur Vihar Phase 2,"₹ 15,909/sq.ft.","2,200 sq.ft. (204 sq.m.) Carpet Area",(204 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 3.5 Cr₹ 15,909/sq.ft."
267,4 BHK Independent Builder Floor in Malviya Nagar,"₹ 13,935/sq.ft.","2,690 sq.ft. (250 sq.m.) Carpet Area",(250 sq.m.) Carpet Area,4 BHK5 Baths,"₹ 3.75 Cr₹ 13,935/sq.ft."
268,4 BHK Independent Builder Floor in East of Kailash,"₹ 23,404/sq.ft.","2,350 sq.ft. (218 sq.m.) Built-up Area",(218 sq.m.) Built-up Area,4 BHK3 Baths,"₹ 5.75 Cr₹ 23,404/sq.ft."
269,4 BHK Independent Builder Floor in Sector 65 Gurgaon,"₹ 14,000/sq.ft.","2,000 sq.ft. (186 sq.m.) Super built-up Area",(186 sq.m.) Super built-up Area,4 BHK3 Baths,"₹ 2.8 Cr₹ 14,000/sq.ft."
270,4 BHK Apartment in Sector 37D Gurgaon,"₹ 7,140/sq.ft.","2,731 sq.ft. (254 sq.m.) Super built-up Area",(254 sq.m.) Super built-up Area,4 BHK5 Baths,"₹ 1.95 Cr₹ 7,140/sq.ft."
271,4 BHK Independent Builder Floor in Sector 91 Gurgaon,"₹ 6,674/sq.ft.","2,547 sq.ft. (237 sq.m.) Built-up Area",(237 sq.m.) Built-up Area,4 BHK4 Baths,"₹ 1.7 Cr₹ 6,674/sq.ft."
272,2 BHK Independent Builder Floor in Ramesh Nagar,"₹ 9,444/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 85 L₹ 9,444/sq.ft."
273,3 BHK Independent Builder Floor in Kavi Nagar,"₹ 7,388/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",(167 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.33 Cr₹ 7,388/sq.ft."
274,5 BHK Independent Builder Floor in Sector 73 Gurgaon,"₹ 17,540/sq.ft.","2,423 sq.ft. (225 sq.m.) Carpet Area",(225 sq.m.) Carpet Area,5 BHK6 Baths,"₹ 4.25 Cr₹ 17,540/sq.ft."
275,3 BHK Apartment in Sector 61 Gurgaon,"₹ 19,000/sq.ft.","2,246 sq.ft. (209 sq.m.) Super built-up Area",(209 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 4.21 Cr₹ 19,000/sq.ft."
